descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento à venda no bairro Torre - João Pessoa/PB;-;['48'];[2];[1];[1];215000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-torre-bairros-joao-pessoa-com-garagem-48m2-venda-RS215000-id-2544420576/
Ótimo apt nos Bancários por 250 mil!!;-;['70'];[2];[2];[1];230000;350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bancarios-bairros-joao-pessoa-com-garagem-70m2-venda-RS230000-id-2552441696/
Apartamento para Venda em João Pessoa, Aeroclube, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;Rua Benjamim Rabelo, 100;['62'];[2];[2];[1];401000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-aeroclube-bairros-joao-pessoa-com-garagem-62m2-venda-RS401000-id-2565310454/
Apartamento para venda tem 48 metros quadrados com 2 quartos em Cuiá - João Pessoa - PB;Rua Maria do Carmo Pereira de Almeida, 150;['48'];[2];[1];[1];110000;191;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cuia-bairros-joao-pessoa-com-garagem-48m2-venda-RS110000-id-2584242579/
Coberturas duplex de 02 quartos, 121,16m² à 132,28m², prédio c/ elevador, no Altiplano/Cabo Branco.;Rua João Alfredo de Souza, 120;[];[2];[2];[1];469000;250;https://www.vivareal.com.br/imovel/cobertura-2-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-124m2-venda-RS469000-id-2584727183/
Apartamento com 117m², 3 quartos, no Aeroclube;-;['117'];[3];[3];[1];310000;445;https://www.vivareal.com.br/imovel/apartamento-3-quartos-aeroclube-bairros-joao-pessoa-com-garagem-117m2-venda-RS310000-id-2539705108/
Apartamento para venda com 59m2 com 2 quartos em Miramar;Rua das Acácias, 252;[];[2];[1];[1];416080;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-miramar-bairros-joao-pessoa-com-garagem-59m2-venda-RS416080-id-2580628420/
📍 Manaíra 📍 97m² | Área Privativa |;Rua Aline Ferreira Ruffo, 541;[];[3];[1];[2];580000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-97m2-venda-RS580000-id-2527147004/
Flat na área mais privilegiada do Cabo Branco;Avenida Cabo Branco;[];[1];[1];[1];437000;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-33m2-venda-RS437000-id-2576394429/
Vendo em Tambaú apartamento com 2qto sendo 2 suítes;Avenida Nego, ;['79'];[2];[3];[1];1100000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-79m2-venda-RS1100000-id-2558737080/
Repasse exclusivo no Eco Premium em Miramar, 206 m² por R$ 1.800.000 - João Pessoa/PB;-;['206'];[4];[5];[0];1800000;0;https://www.vivareal.com.br/imovel/apartamento-4-quartos-miramar-bairros-joao-pessoa-206m2-venda-RS1800000-id-2583409236/
Lindo Apartamento em Manaíra espaçoso próximo a tudo;-;['206'];[4];[6];[3];950000;1200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-manaira-bairros-joao-pessoa-com-garagem-206m2-venda-RS950000-id-2576875314/
APARTAMENTO para vender no Bessa 200m do mar com 3 quartos sendo 1 suítes - 82m2 em João Pessoa.;Rua Napoleão Gomes Varela, 415;[];[3];[2];[2];462000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-82m2-venda-RS462000-id-2571447467/
Apartamento para venda com 90 metros quadrados com 3 quartos em Brisamar - João Pessoa - PB,;-;[];[3];[2];[2];540000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-brisamar-bairros-joao-pessoa-com-garagem-90m2-venda-RS540000-id-2559623649/
Apartamento com 3 dormitórios à venda, 134 m² por R$ 850.000,00 - Altiplano - João Pessoa/PB;Rua Rui Costa, 520;['134'];[3];[4];[2];850000;827;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-134m2-venda-RS850000-id-2562769417/
Venda - Apartamento com 2 quartos, 47 m² por R$ 550.000 - Tambaú (Próximo a praia) - João Pessoa/PB;-;['47'];[2];[1];[0];550000;500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-47m2-venda-RS550000-id-2562736180/
Apartamento Duplex à venda, 67 m² por R$ 592.815,97 - Jardim Oceania - João Pessoa/PB;Avenida Governador Argemiro de Figueiredo, 3835;['67'];[1];[1];[0];592816;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oceania-bairros-joao-pessoa-67m2-venda-RS592816-id-2578841212/
Apartamento com 1 dormitório à venda, 22 m² por R$ 237.500,00 - Jardim Oceania - João Pessoa/PB;Avenida Governador Argemiro de Figueiredo, 2901;['23'];[1];[1];[1];237500;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-23m2-venda-RS237500-id-2562768632/
Apartamento com 4 suítes em Altiplano, João Pessoa - Fontana di mare Alliance;Rua Poeta Targino Teixeira, ;['255'];[4];[5];[4];1906000;1500;https://www.vivareal.com.br/imovel/apartamento-4-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-255m2-venda-RS1906000-id-2575427755/
Apartamento Altiplano Cabo Branco 03 quartos para venda 74 metros quadrados.;Rua Severino Ennes de Atayde, 220;['74'];[3];[2];[1];330000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-74m2-venda-RS330000-id-2576217881/
Cód634 - Apartamento no bessa | 45 m² | 02 quartos sendo 1 suíte | sala para 02 ambientes | pisci;Avenida Campos Sales;['45'];[2];[2];[1];282500;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-45m2-venda-RS282500-id-2571731470/
Apartamento com 2 dormitórios à venda, 52 m² por R$ 200.000,00 - Altiplano Cabo Branco - João Pessoa;-;['53'];[2];[2];[0];200000;100;https://www.vivareal.com.br/imovel/apartamento-2-quartos-altiplano-cabo-branco-bairros-joao-pessoa-53m2-venda-RS200000-id-2581948694/
2634 - Apartamento para vender no Bairro dos Estados, João Pessoa PB;-;['69'];[2];[2];[2];435000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-69m2-venda-RS435000-id-2563217893/
Apartamento Padrão;-;['272'];[4];[5];[2];1200000;1200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-272m2-venda-RS1200000-id-2564136779/
Apartamento com 3 dormitórios à venda, 127 m² por R$ 860.000,00 - Brisamar - João Pessoa/PB;Rua Professor Otávio Costa, 151;['127'];[3];[4];[2];860000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-brisamar-bairros-joao-pessoa-com-garagem-127m2-venda-RS860000-id-2573852954/
Apartamento em Tambauzinho R$ 400.000,00 Cód. APA/79;-;['103'];[3];[3];[1];400000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambauzinho-bairros-joao-pessoa-com-garagem-103m2-venda-RS400000-id-2561490797/
Apartamento para Venda em João Pessoa, Cristo Redentor, 3 dormitórios, 1 suíte, 1 banheiro;Rua Petrarca Grisi, 174;['85'];[3];[1];[0];150000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-redentor-bairros-joao-pessoa-85m2-venda-RS150000-id-2583936822/
Apartamento com 3 dormitórios à venda, 94 m² por R$ 300.000,00 - Bessa - João Pessoa/PB;-;['94'];[3];[3];[0];300000;350;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-94m2-venda-RS300000-id-2557581148/
Apartamento para Venda em João Pessoa, Miramar, 4 dormitórios, 4 suítes, 6 banheiros, 3 vagas;Rua Nevinha Cavalcanti, ;['221'];[4];[6];[3];900000;1500;https://www.vivareal.com.br/imovel/apartamento-4-quartos-miramar-bairros-joao-pessoa-com-garagem-221m2-venda-RS900000-id-2466419192/
Apto 02 quartos Jardim Oceania/Bessa;Rua Anastácio Camilo de Oliveira, ;['64'];[2];[2];[1];354000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-64m2-venda-RS354000-id-2558551432/
Cod: 28 - Apartamento 03 suítes, 02 vagas - Tambauzinho;-;['126'];[3];[4];[2];858000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambauzinho-bairros-joao-pessoa-com-garagem-126m2-venda-RS858000-id-2563959719/
Apto Bessa;Rua Rita Sabino de Andrade, ;['60'];[2];[2];[1];499000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-aeroclube-bairros-joao-pessoa-com-garagem-60m2-venda-RS499000-id-2557406124/
Apartamento à venda, 53 m² por R$ 140.000,00 - Bancários - João Pessoa/PB;-;['53'];[2];[2];[1];140000;150;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bancarios-bairros-joao-pessoa-com-garagem-53m2-venda-RS140000-id-2574429923/
Lançamento no coração de Tambaú a partir de 140 m²;-;['145'];[3];[3];[2];1087500;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-145m2-venda-RS1087500-id-2581698872/
Apartamento com Vista IMPECÁVEL para o parque Parahyba no Jardim Oceania;-;['91'];[3];[4];[2];690000;533;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-91m2-venda-RS690000-id-2582966953/
Apartamento para venda possui 72 metros com 2 quartos;Rua David Ferreira Luna, 100;[];[2];[1];[1];420000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-cidade-universitaria-bairros-joao-pessoa-com-garagem-72m2-venda-RS420000-id-2570655738/
Apartamento para venda com 48 metros quadrados com 2 quartos;Rua Arnaldo Costa, 52;[];[2];[1];[1];153990;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-redentor-bairros-joao-pessoa-com-garagem-48m2-venda-RS153990-id-2579385108/
Apartamento Novo!! Todas unidades face Sul, opção de 3 e 2 dorms com 2 vagas!;-;[];[3];[3];[2];635040;600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-91m2-venda-RS635040-id-2574545667/
Apt. 2 quartos-terreo-varanda-50 metros da orla-Tambaú;Avenida Antônio Lira, 1;[];[2];[1];[1];360000;470;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-51m2-venda-RS360000-id-2578250658/
Apartamento para venda com 69m², 2 quartos em Estados - João Pessoa - PB;Rua Manoel Madruga, 488;[];[2];[2];[2];420000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-69m2-venda-RS420000-id-2557421287/
Apartamento com 3 dormitórios à venda, 149 m² por R$ 530.000,00 - Jardim Oceania - João Pessoa/PB;-;['149'];[3];[4];[1];530000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-149m2-venda-RS530000-id-2573936084/
Flat na Praia do Bessa. Oportunidade de investimento;-;[];[2];[1];[1];310000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-51m2-venda-RS310000-id-2571142712/
Apartamento para vender a 50 metros do mar do Bessa;-;['51'];[2];[1];[1];370000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-51m2-venda-RS370000-id-2510862492/
Pent Haus Bessa - 2, 3 ou 4 suítes - Alto Padrão no melhor do Bessa;Rua Themístocles da Costa Brito, 760;[];[2];[3];[];454000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-62m2-venda-RS454000-id-2570143133/
Residencial Mais Luxor;Rua Cecília Rodrigues Siqueira, 585;['54'];[2];[1];[1];300000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bancarios-bairros-joao-pessoa-com-garagem-54m2-venda-RS300000-id-2584400081/
Lindo, com mobília e ótima localização!!!!!;Avenida Hilton Souto Maior;['64'];[2];[1];[1];215000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-portal-do-sol-bairros-joao-pessoa-com-garagem-64m2-venda-RS215000-id-2581504400/
Lançamento! Apartamento de luxo com 03 suítes e vista para o mar no Altiplano.;-;['160'];[3];[5];[3];1356250;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-160m2-venda-RS1356250-id-2550804047/
Apartamento para Venda em João Pessoa, Tambaú, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga;Rua Sidney Clemente Dore, ;['50'];[2];[1];[1];480600;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-50m2-venda-RS480600-id-2582586796/
Apartamento à venda, 2 quartos, 1 suíte, 1 vaga, Jardim Oceania - João Pessoa/PB;Rua Clotilde Rocha Cabral;['61'];[2];[2];[1];400000;475;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-61m2-venda-RS400000-id-2583756304/
Apartamento com 3 dormitórios à venda, 88 m² por R$ 470.000,00 - Cabo Branco - João Pessoa/PB;Rodovia BR-230;['88'];[3];[3];[1];470000;720;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-88m2-venda-RS470000-id-2567863129/
Apartamento no Bessa com 3 quartos e varanda. Pronto para morar!!!;Avenida Governador Flávio Ribeiro Coutinho, ;['130'];[3];[4];[2];780000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-130m2-venda-RS780000-id-2557878747/
Vendo apartamento beira mar do bessa ( 70 m2) 2 suítes.;Avenida Presidente Afonso Pena, 0;[];[2];[2];[2];581000;500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-70m2-venda-RS581000-id-2581890398/
Apartamento com 2 dormitórios à venda, 52 m² por R$ 385.556,00 - Bessa - João Pessoa/PB;Rua Doutor Hortêncio Osterne Carneiro;['52'];[2];[2];[1];385556;476;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-52m2-venda-RS385556-id-2559829625/
Apartamento para venda possui 90 metros quadrados com 3 quartos em Bessa - João Pessoa - Paraíba;Rua Napoleão Gomes Varela, 3;['90'];[3];[3];[2];530000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-com-garagem-90m2-venda-RS530000-id-2578009813/
Apartamento para venda tem 55 metros quadrados com 2 quartos em Pedro Gondim - João Pessoa - Paraíba;Rua João Vieira Carneiro, 00;[];[2];[2];[1];315000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-pedro-gondim-bairros-joao-pessoa-com-garagem-55m2-venda-RS315000-id-2584590180/
Apartamento para venda tem 70 metros quadrados com 2 quartos em Cabo Branco - João Pessoa - Paraíba;Rua Doutor Gilvan Marinho Muribeca, 3;['70'];[2];[2];[1];440000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-70m2-venda-RS440000-id-2560364578/
Apartamento com 2 dormitórios à venda, 51 m² por R$ 219.990,00 - Expedicionários - João Pessoa/PB;Avenida Capitão João Freire;['51'];[2];[2];[1];219990;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-expedicionarios-bairros-joao-pessoa-com-garagem-51m2-venda-RS219990-id-2584339380/
Duplex para venda possui 160 metros quadrados com 4 quartos em Bessa - João Pessoa - PB;Rua Josué Guedes Pereira, 100;[];[4];[5];[2];1260000;0;https://www.vivareal.com.br/imovel/apartamento-4-quartos-bessa-bairros-joao-pessoa-com-garagem-160m2-venda-RS1260000-id-2576402075/
Apartamento com 2 quartos à venda, 55 m² por R$ 485.000 - Tambaú - João Pessoa/PB;Rua Silvino Lopes;['55'];[2];[2];[1];485000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-55m2-venda-RS485000-id-2573585277/
Apartamento para venda em Jardim Oceania - João Pessoa - Pb;Avenida Governador Argemiro de Figueiredo;[];[1];[1];[1];423289;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-53m2-venda-RS423289-id-2554930566/
Apartamento para venda tem 110 metros quadrados com 3 quartos em Tambaú - João Pessoa - PB;Rua Monteiro Lobato, 601;[];[3];[3];[2];750000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-110m2-venda-RS750000-id-2577783363/
Apartamento Pé na Areia com 02 Suítes Mobiliado - Jardim Oceania;Avenida Governador Argemiro de Figueiredo, ;['83'];[2];[3];[2];850000;620;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-83m2-venda-RS850000-id-2557606041/
Apartamentos novos de 02 quartos, prédio com área de lazer completa, no Cabo Branco.;Rua Marcionila da Conceição, 01;[];[2];[1];[1];670000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-60m2-venda-RS670000-id-2581722113/
Apartamento com 3 dormitórios à venda, 152 m² por R$ 1.600.000 - Manaíra - João Pessoa/PB;Avenida Sapé, 901;['152'];[3];[4];[0];1600000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-152m2-venda-RS1600000-id-2568579971/
📍Bancários📍 83,9m² Apartamento com 3 Quartos!;Rua Alcebíades da Cunha, 541;[];[3];[1];[1];280000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bancarios-bairros-joao-pessoa-com-garagem-83m2-venda-RS280000-id-2517734293/
Apartamento para Venda em João Pessoa, Cabo Branco, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas;Avenida Cabo Branco, S/N;['114'];[3];[4];[2];1690000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-114m2-venda-RS1690000-id-2580537402/
Apartamento com 3 dormitórios à venda, 120 m² por R$ 480.000,00 - Tambaú - João Pessoa/PB;-;['120'];[3];[3];[0];480000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-120m2-venda-RS480000-id-2541576174/
Apartamento para venda possui 78 metros quadrados com 3 quartos em Torre - João Pessoa;Avenida Juarez Távora, 0;[];[3];[2];[1];270000;471;https://www.vivareal.com.br/imovel/apartamento-3-quartos-torre-bairros-joao-pessoa-com-garagem-78m2-venda-RS270000-id-2583417110/
Vendo lindo apartamento de 03 quartos em Tambauzinho;-;['140'];[3];[3];[2];320000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambauzinho-bairros-joao-pessoa-com-garagem-140m2-venda-RS320000-id-2583346511/
Amplo apartamento de 131 metros2 com 4 quartos 2 suítes 3 vagas em Miramar;Rua Marieta Steimbach Silva;[];[4];[4];[3];850000;716;https://www.vivareal.com.br/imovel/apartamento-4-quartos-miramar-bairros-joao-pessoa-com-garagem-131m2-venda-RS850000-id-2575084383/
Apartamento com 2 dormitórios à venda, 58 m² por R$ 453.530,00 - Jardim Oceania - João Pessoa/PB;Rua Valdemar Chianca, 1111;['59'];[2];[2];[1];453530;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-59m2-venda-RS453530-id-2562771077/
Apartamento a venda no bairro do Cabo Branco;-;['57'];[1];[1];[1];432457;-;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-57m2-venda-RS432457-id-2578049326/
Apartamento studio Alto Padrão de frente para o mar no Bessa/Jardim Oceania;Avenida Governador Argemiro de Figueiredo, 3181;['25'];[1];[1];[0];400000;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oceania-bairros-joao-pessoa-25m2-venda-RS400000-id-2549777845/
Apartamento para Venda em João Pessoa, Jardim Oceania, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga;Avenida Governador Argemiro de Figueiredo, ;['53'];[1];[1];[1];423000;-;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-53m2-venda-RS423000-id-2558412439/
COD 1-270 Apartamento em Cabo Branco bem localizado;Avenida Adolfo Loureiro França, 1;[];[3];[3];[2];640500;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-126m2-venda-RS640500-id-2583342851/
Apartamento para venda com 50 metros quadrados com 2 quartos em Mangabeira - João Pessoa - Paraíba;Rua Paulo V. Moreira Silva, 99;['50'];[2];[1];[1];148000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mangabeira-bairros-joao-pessoa-com-garagem-50m2-venda-RS148000-id-2583921171/
Apartamento para venda com 85 metros quadrados com 3 quartos em Estados - João Pessoa - PB;-;[];[3];[1];[1];550000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-estados-bairros-joao-pessoa-com-garagem-85m2-venda-RS550000-id-2573537810/
Residencial Erlie Amorim;Rua Tabelião José Ramalho Leite, ;['181'];[4];[5];[3];1410000;-;https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-181m2-venda-RS1410000-id-2581469116/
Apartamento para venda possui 78 metros quadrados com 2 quartos em Aeroclube - João Pessoa - PB;Rua Débora da Silva Braga, 375;['78'];[2];[2];[1];340000;476;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-78m2-venda-RS340000-id-2546854880/
Apartamento para venda em possui 60 metros quadrados com 2 quartos em Mangabeira - João Pessoa - PB;Rua Euclides Neiva de Oliveira, 145;['60'];[2];[1];[1];135000;30;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mangabeira-bairros-joao-pessoa-com-garagem-60m2-venda-RS135000-id-2563071779/
Apartamento para venda com 58 metros quadrados com 2 quartos em Bessa - João Pessoa - PB;Avenida Campos Sales, 1;[];[2];[2];[2];304000;270;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-58m2-venda-RS304000-id-2570656537/
Apartamento com 2 dormitórios à venda, 44 m² por R$ 363.809 - Cabo Branco - João Pessoa/PB;-;['44'];[2];[2];[1];363809;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-44m2-venda-RS363809-id-2567823533/
Studio à venda, 23 m² por R$ 149.900,00 - Jardim São Paulo - João Pessoa/PB;Rua Joaquim Borba Filho, 214;['24'];[1];[1];[1];149900;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-paulo-bairros-joao-pessoa-com-garagem-24m2-venda-RS149900-id-2581571410/
Apartamento para venda tem 136 metros quadrados com 3 quartos em Tambaú - João Pessoa - PB;Rua Monteiro Lobato, 500;[];[3];[4];[2];1110000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-136m2-venda-RS1110000-id-2556705306/
Apartamento para venda tem 309 metros quadrados com 3 quartos em Cabo Branco - João Pessoa - PB;Avenida Cabo Branco, 0;[];[3];[4];[4];5122604;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-309m2-venda-RS5122604-id-2567023523/
Apartamento para Venda em João Pessoa, Bairro dos Ipês, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;Rua Oswaldo Evaristo da Costa, 572;['51'];[2];[2];[1];249000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-dos-ipes-bairros-joao-pessoa-com-garagem-51m2-venda-RS249000-id-2571895020/
Apartamento com 3 dormitórios à venda, 125 m² por R$ 459.000 - Tambaú - João Pessoa/PB;-;['125'];[3];[2];[2];459000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-125m2-venda-RS459000-id-2571730859/
Vendo amplo apartamento de 03 quartos + Dependência, andar alto em Manaíra;-;['120'];[3];[3];[1];545000;650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-120m2-venda-RS545000-id-2583485222/
Apartamento para venda com 56 metros quadrados com 2 quartos em Pedro Gondim - João Pessoa - PB;-;['56'];[2];[2];[1];330000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-pedro-gondim-bairros-joao-pessoa-com-garagem-56m2-venda-RS330000-id-2571948074/
Apartamento PORTEIRA FECHADA com 3 suítes à venda, 153 m² - Tambaú - João Pessoa/PB;-;['153'];[3];[5];[2];1290000;1038;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-153m2-venda-RS1290000-id-2577549680/
Apartamento para venda com 18 m2 no NORD EASY CONNECT com 1 quarto em Manaíra - João Pessoa;Rua Aluísio França, 0;[];[1];[1];[1];230000;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-manaira-bairros-joao-pessoa-com-garagem-18m2-venda-RS230000-id-2472345180/
Apartamento para venda com 110 metros quadrados com 3 quartos em Tambaú - João Pessoa - Paraíba;-;[];[3];[3];[2];700000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-110m2-venda-RS700000-id-2571572515/
Apartamento para venda possui 333 metros quadrados com 4 suítes;Rua Abelardo da Silva Guimarães Barreto, 400;[];[4];[6];[4];2600000;-;https://www.vivareal.com.br/imovel/apartamento-4-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-333m2-venda-RS2600000-id-2572261747/
Apartamento a venda no Cabo Branco.;Rua Coronel Miguel Satyro, 30;['153'];[3];[5];[2];890000;1000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-153m2-venda-RS890000-id-2569079718/
Apartamento Bancários 03 quartos 75 metros com Varanda e Sala com pé direito duplo;Rua Rogério C. de Oliveira, 150;['75'];[3];[1];[1];310000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bancarios-bairros-joao-pessoa-com-garagem-75m2-venda-RS310000-id-2566605380/
Apartamento à venda, 72 m² por R$ 380.000,00 - Bancários - João Pessoa/PB;-;['72'];[3];[2];[2];380000;230;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bancarios-bairros-joao-pessoa-com-garagem-72m2-venda-RS380000-id-2562267800/
Vendo - Apartamento sendo 3 suítes, 106m² Miramar;-;['116'];[3];[4];[0];520000;750;https://www.vivareal.com.br/imovel/apartamento-3-quartos-miramar-bairros-joao-pessoa-116m2-venda-RS520000-id-2555118472/
Oportunidade Oceania,localização boa, 5 quartos R$1.150.000;Rua Olívio Pinto, 231;['215'];[5];[5];[2];1150000;-;https://www.vivareal.com.br/imovel/apartamento-5-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-215m2-venda-RS1150000-id-2549461365/
Mansão Apartamento em Altiplano com 5 suítes em João Pessoa, Wellington Barreto;Avenida João Cirilo da Silva, ;['412'];[5];[5];[4];4500000;0;https://www.vivareal.com.br/imovel/apartamento-5-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-412m2-venda-RS4500000-id-2571970914/
